umhlaba	u m hlaba
uyosithela	u yo si thel a, u yo sithel a
uphelile	u phel ile
ithi	i thi
uthandazela	u thandaz el a
kwangithokozisa	kw a ngi thokoz is a
uhlulwa	u hlul w a
ithe	i th e
nxashana	nxashana
inkosi	i n kosi
ngijike	ngi jik e
phakathi	phakathi
ufisa	u fis a
zizibeke	zi zi bek e
sisekhona	si se kho na
bakhombise	ba khomb is e
kubonelela	ku bonel el a
lingahlaba	li nga hlab a
ungabulali	u nga bulal i
kangisakwazi	ka ngi sa kw azi
ngowomunye	ng o w o mu nye
kwafumaniseka	kw a fuman is ek a
kungahle	ku nga hle
ukuzisola	u ku zisol a
nothogarma	n o thogarma
abasahleki	a ba sa hlek i
ekufake	e ku fak e
ungabhayizi	u nga bhayiz i
izinyathi	i zi nyathi
ngidlala	ngi dlal a
ezimbusisayo	e zi m busis a yo
aqhwakele	a qhwak el e
ngezacile	ng e zac ile
sebengayibhala	se be nga yi bhal a
linjalo	li njalo
sekufiwe	se ku f iw e
ukuziqhenya	u ku zi qheny a
ongakaze	o nga ka ze
kochitheka	k o chith ek a
uzophupha	u zo phuph a
esitheshini	e si thesh ini
waphikelela	w a phikel el a
okuzokonakala	o ku zo k on akal a
patsha	patsha
yalibamba	y a li bamb a
wabanyonkoloza	w a ba nyonkoloz a
isikhwehlela	i si khwehlel a
zikapopo	zika popo
necebo	n e ceb o
uyodideka	u yo did ek a
amfice	a m fic e
ngowokuba	ng o w o kuba
bheka	bhek a
nawoqukula	na w o qukul a
sinjani	si njani
nantathu	na n tathu
nomkakhe	n o m ka khe
ngenzenjani	ng enz e njani
nomkakho	n o m ka kho
ngxi	ngxi
luzodingidwa	lu zo dingid w a
elishisayo	e li shis a yo
bazithintile	ba zi thint ile
uyifunde	u yi fund e
alishaye	a li shay e
kungcola	ku ngcol a
esithumelele	e si thumel el e
azisalanga	a zi sal anga
seliphumile	se li phum ile
izingqomondo	i zin gqomondo
ingafundwa	i nga fund w a
nobuso	n o bu so
emikhulu	e mi khulu
sekungamazinyo	se ku ng a ma zinyo
wayithola	w a yi thol a
iphambukile	i phambuk ile
nempela	n empela
iwezifundo	i w e zi fund o
aphengule	a phengul e
shwele	shwele
angakuthatha	a nga ku thath a
bubangwa	bu bang w a
ngiphelekezele	ngi phelekez el e, ngi phelekezel e
bamthunge	ba m thung e
asitshele	a si tshel e
bakhe	ba khe
iwaphonse	i wa phons e
umfundi	u m fund i
bakho	ba kho
ngasefilidi	nga se filidi
ngamarandi	ng a ma randi
ikileku	i kileku
lwalumnandi	lw a lu mnandi
izifundo	i zi fund o
akukhethi	a ku kheth i
emsamo	e m samo
yalithi	y a li thi
yaqapha	y a qaph a
komnumzane	k o m numzane
uyesabeka	u y esab ek a
sasize	s a siz e
zicabange	zi cabang e
akwenzele	a kw enz el e
uzocasha	u zo cash a
mnumzane	m numz ane, m numzane
asazike	a s azi ke
bengazibekile	be nga zi bek ile
bakhathele	ba khathel e
ayeziqoqele	a ye zi qoq el e
lumbelesele	lu m beles el e, lu m belesel e
njalo	njalo
lizama	li zam a
isibuya	i s i buy a
olungiselela	o lung is elel a
wagulukudela	w a gulukudel a
nesifo	n e si f o
nalenkinga	na le n kinga
yakwethu	y akwethu
ukusebenzisa	u ku sebenz is a
lubenjalo	lu b e njalo
sekumbambe	se ku m bamb e
wavele	w a vele
iqhamuka	i qhamuk a
lanamhlanje	la namhlanje
aseyicabangile	a se yi cabang ile
sasemanzimtoti	sa se ma nzi mtoti
esabaleka	e sa balek a
zemithi	z e mi thi
ezansi	e zansi
isihloma	i si hlom a
uthini	u thi ni
uyathengisa	u ya theng is a
washonelwa	w a shon el w a
masehlukane	ma s ehluk an e
wethoka	w ethok a
ngami	nga mi
babone	ba bon e
linikezwe	li nikez w e
babona	b a bon a, ba bon a
wayengabala	w a ye nga bal a
umbhali	u m bhal i
ngabuye	ng a buy e
ngabuya	ng a buy a
emnyameni	e m nyam eni
kunjalo	ku njalo
kulonesi	ku lo nesi
uyeza	u y ez a
wayesejike	w a ye se jik e
wase	w a se
isigqoko	i si gqok o
ababengekho	a ba be nge kho
engikubizele	e ngi ku biz el e
etsheliwe	e tshel iw e
engiphethe	e ngi pheth e
basanda	ba sand a
okweqa	o kw eq a
abancane	a ba ncane
ngenkathi	ng e n kathi
waphindela	w a phindel a
ngingaphumeleli	ngi nga phumelel i
amantombazane	a ma ntombaz ane
kuswelekile	ku swel ek ile
ukuyizwa	u ku yi zw a
basho	ba sho
asemqoka	a se m qok a
basha	ba sh a
useyaqeda	u se ya qed a
izibondlo	i zi bondlo
idla	i dl a
wathumela	w a thumel a
hayi	hayi
babebathole	ba be ba thol e
esebuza	e se buz a
izimali	i zi mali
esekhulelile	e se khul el ile
sigodo	si godo
uqhubeke	u qhub ek e
uqhubeka	u qhub ek a, u qhubek a
abaningi	a ba ningi
khona	kho na
ngokwedlulele	ng o kw edlul el e
ngamnika	ng a m nik a
ewudweba	e wu dweb a
wangithena	w a ngi then a
umkami	u m kami
namhlanje	na m hla nje
besamangele	be sa mangel e
ehawukele	e hawukel e
ekulelibutho	e ku le li buth o
sithunyiwe	si thuny iw e
ukuthuthukisa	u ku thuthuk is a
wawungathi	w a wu nga thi
abahwathuzisa	a ba hwathuz is a
uzozichaza	u zo zi chaz a
ababejayiva	a b a be jayiv a
nesigqoko	n e si gqok o
wavuka	w a vuk a
kwasa	kw a s a
kudokotela	ku dokotela
ngamangala	ng a mangal a
kwase	kw a se
ibhekene	i bhek en e
ngesikade	ng e si kade
eziyikitazayo	e zi yi kitaz a yo
uzwile	u zw ile
akacabangi	a ka cabang i
okwami	o kwa mi
ngiyabamba	ngi ya bamb a
ikhala	i khal a, i khala
owawudlalwa	o w a wu dlal w a
engenalo	e nge na lo
usikhwama	u sikhwama
ngasemobeni	nga se mob eni
abasaphathekile	a ba sa phath ek ile
bajeziselwani	ba jez is el w a ni
bekade	be kade
siyakukhuphukelaphi	si ya ku khuphuk el a phi
exoshana	e xosh an a
akuthi	a ku th i
ngingumuntu	ngi ng u mu ntu
eyiyeka	e yi yek a
seyaziganelwa	se y a zi gan el w a
ukuhlala	u ku hlal a
nomzimba	n o m zimba
umlambo	u m lambo
kwakumalini	kw a ku mali ni
sekungalalwa	se ku nga lal w a
ingubo	i n gubo
asihambe	a si hamb e
agane	a gan e
liyenzeka	li y enz ek a
kokusifaka	k o ku si fak a
ngezansana	ng e zans ana
okwesikhukhukazi	o kw e si khukhu kazi
ngokwezandla	ng o kw e z andla
nangwe	na n gwe
ngokungibhinqa	ng o ku ngi bhinq a
ebusweni	e bus w eni
awuzithathi	a wu zi thath i
azizwe	a zi zw e
wayongena	w a yo ngen a
wayobheka	w a yo bhek a
ongaphandle	o nga phandle
wabaleka	w a balek a
uyabaleka	u ya ba lek a, u ya balek a
usezwa	u sez w a
engeseduze	e nge se duze
elinye	e li nye
zonya	zony a
asebenza	a sebenz a
eyishumi	e y i shumi
egculisiwe	e gcul is iw e
yayimbude	y a y i m bude
idadamu	i dadamu
bawathenge	ba wa theng e
owangithanda	o w a ngi thand a
sekuyidwala	se ku y i dwala
ngivele	ngi vel e
kucace	ku cac e
ahamba	a hamb a
ahambe	a hamb e
bese	be se
uzihlalele	u zi hlal ele
amanye	a ma nye
benjalo	be njalo
zodwa	zo dwa
imvimbezele	i m vimbezel e
nomalume	n o malume
izothululwa	i zo thulul w a
nokuthatha	n o ku thath a
zaso	za so
uchabo	u chabo
nawo	na wo
ngezifuba	ng e zi fuba
zezinsizwa	z e zin sizwa
emangcwabeni	e ma ngcwab eni
ongaphakathi	o nga phakathi
bayabubula	ba ya bubul a
umoya	u moya
yayomnquma	y a yo m nqum a
akwanele	a kw anel e
siyamluma	si ya m lum a
ebeka	e bek a
akukhona	a ku kho na
uzondi	u zondi
imicabango	i mi cabang o
ngenanyiswe	ng enany is w e
ngingumthakathi	ngi ng u m thakath i
kangilimile	ka ngi lim ile
ngci	ngci
kungakangeni	ku nga ka ngen i
ngisabambeke	ngi sa bamb ek e
waqeda	w a qed a
ijubane	i jubane
kwakungugamaliyeli	kw a ku ng u gamaliyeli
izinyanga	i zi nyanga
angilandiwe	a ngi land iw e
engivelelayo	e ngi vel el a yo
entshebeni	e n tsheb eni
esefikelwa	e se fik el w a
nayo	na yo
owayebekwa	o w a ye bek w a
naye	na ye
kwazulu	kwa zulu
kankosi	ka n kosi
osekuthanda	o se ku thand a
kwakusebenza	kw a ku sebenz a
bengisemanzimtoti	be ngi se ma nzi mtoti
ngesilima	ng e si lima
isabhaleka	i sa bhal ek a
makenze	ma k enz e
ehleli	e hlel i
idlangala	i dlangal a
ebandla	e bandl a
iphupho	i phuph o
asikwenzanga	a si kw enz anga
bangibiza	ba ngi biz a
behla	b ehl a
edwaleni	e dwal eni
saqhubeka	s a qhub ek a
amapotimende	a ma potimende
alunga	a lung a
ikakhulu	i ka khulu
kumenele	ku m enel e
labonamakhosikazi	la b o n a ma khosi kazi
ikhulu	i khulu
ngibone	ngi bon e
ngibona	ngi bon a
sebemenza	se be m enz a
wakuzwa	w a ku zw a
kamandlakhe	ka ma ndla khe
nokwami	n o kwa mi
amathambo	a ma thambo
elikhinyabezwe	e li khinyabez w e
useyixoxe	u se yi xox e
esesebenza	e se sebenz a
ufikile	u fik ile
esiklebheni	e si klebh eni
buhlungu	buhlungu
eshiywe	e shiy w e
yafika	y a fik a
yahlupha	y a hluph a
ozobaphathisa	o zo ba phath is a
kamina	ka mi na
asemhenqa	a se m henq a
kuhomuzela	ku homuz el a
zixutshwe	zi xutsh w e
esondela	e sondel a
emakeloti	e ma keloti
abalamu	a ba lamu
kokuchaza	k o ku chaz a
kuse	ku s e
sabuya	s a buy a
abakubo	a ba ku bo
sinazo	si na zo
esaphendula	e sa phendul a
ubebathanda	u be ba thand a
okuphe	o ku ph e
ungalimaza	u nga limaz a
yokuhlushwa	y o ku hlush w a
ukududula	u ku dudul a
njengoba	nje ngoba
ngikubiza	ngi ku biz a
ebhebhetheke	e bhebheth ek e
balaba	ba la ba
siyakubopha	si ya ku boph a
useyayizwa	u se ya yi zw a
abomvu	a bomvu
akuyikho	a ku yi kho
iminingi	i mi ningi
ejalidini	e jalid ini
sekukhona	se ku kho na
indlovu	i n dlovu
yamukelwe	y amuk el w e
sekugcwele	se ku gcwel e
komngane	k o m ngane
kufike	ku fik e
kufika	ku fik a
kungcono	ku ngcono
malokazana	ma lokazana
ngangingasenandaba	ng a ngi nga se na n daba
ukugubhazela	u ku gubhazel a
uma	uma
ngilibophe	ngi li boph e
siphuthuma	si phuthum a
ngisebenza	ngi sebenz a
kokuhlabeka	k o ku hlab ek a
engagulanga	e nga gul anga
kwakugcwaliseka	kw a ku gcwal is ek a
ngamagama	ng a ma gama
badela	ba del a
ungaya	u nga y a
eseyimnika	e se yi m nik a
mfana	m fana
ukamahlaba	u ka ma hlaba
sasibhalwe	s a si bhal w e
zokumvikela	z o ku m vik el a
o	o
befuna	be fun a
wedlula	w edlul a
elalingene	e l a li ngen e
umane	u mane
mbo	mbo, m bo
babengobani	ba be ng o bani
kususwe	ku sus w e
kususwa	ku sus w a
nanka	nan ka
unyawo	u nyawo
ahlale	a hlal e
ahlala	a hlal a
leshumi	l e shumi
singakenzi	si nga k enz i
wayengahlezi	w a ye nga hlez i
wedelela	w edelel a
imshiye	i m shiy e
kwechibi	kw e chibi
ngakugcina	ng a ku gcin a
belikade	be li kade
zondi	zondi
kazidakiwe	ka zi dak iw e
okirani	o kirani
sengizwa	se ngi zw a
banibani	banibani
abazofuna	a ba zo fun a
kusashisa	ku sa shis a
nokugqiha	n o ku gqih a
ukuhambisana	u ku hambis an a
ezwile	e zw ile
somngane	s o m ngane
azi	azi
ukusuka	u ku suk a
ngizomsiza	ngi zo m siz a
kumkhaya	ku m khaya
layo	la yo
umgexo	u m gex o
baze	ba ze
endodaneni	e n dod an eni
sesiyokhumbula	se si yo khumbul a
isebenzisa	i sebenz is a
emeveni	e me v eni
ezincwadini	e zi ncwad ini
angahamba	a nga hamb a
ngangivuka	ng a ngi vuk a
iphuma	i phum a
nawuvadlwana	na w u vadlw ana
iphume	i phum e
ayesenawo	a ye se na wo
esukuma	e sukum a
ibihlekiswa	i b i hlek is w a
nalamaphoyisa	na la ma phoyisa
ngiyibhalele	ngi yi bhal el e
kengisho	ke ngi sho
kungangcono	ku nga ngcono
okuhle	o ku hle
ukhala	u khal a
ethanda	e thand a
ibhale	i bhal e
akazukuba	a ka zu ku b a
ihambe	i hamb e
akhushulelwe	a khushul el w e
kwabona	kw a bon a
enye	e nye
sizithanda	si zi thand a
izimfunda	i zim funda
uphethe	u pheth e
ayokuthola	a yo ku thol a
iziteshana	i zi tesh ana
ukufinyeza	u ku finyez a
yidwala	y i dwala
esethandile	e se thand ile
nxa	nxa
ozibhekela	o zi bhek el a
umhlabathi	u m hlabathi
ayifunde	a yi fund e
engafuni	e nga fun i
kuyintshwaquntshwaqu	ku y i n tshwaqu n tshwaqu
akucabange	a ku cabang e
kwayikho	kw a yi kho
waphinda	w a phind a
ngaziphendula	ng a zi phendul a
ezogwinya	e zo gwiny a
kwakuyizincwadi	kw a ku y i zin cwadi
zokungahloniphi	z o ku nga hloniph i
ebhayibhelini	e bhayibhel ini
okwase	o kw a se
nabanye	n a ba nye
kwedlula	kw edlul a
wofaka	w o fak a
indiva	i n diva
kubonakala	ku bon akal a
esicathama	e si catham a
kumduduze	ku m duduz e, ku mduduz e
wavuma	w a vum a
kalingcoli	ka li ngcol i
wazibonela	w a zi bon el a
amadlangala	a ma dlangala
esalokhu	e sa lokhu
angisakushiyi	a ngi sa ku shiy i
uyokwenza	u yo kw enz a
busabuya	bu sa buy a
usalindele	u sa lindel e
laphaya	lapha ya
uhola	u hol a
nothanda	n o thand a
nothando	n o thand o
uselele	u se lel e
unomhlanjana	u n o m hlanj ana
ongafuni	o nga fun i
kwakuqhwakele	kw a ku qhwak el e
onethiwe	o neth iw e
ukungihlupha	u ku ngi hluph a
wazizwa	w a zi zw a
lakuxosha	l a ku xosh a
lempethu	le m pethu
nezinhlanhla	n e zin hlanhla
nokuthenga	n o ku theng a
lifuna	li fun a
wayefana	w a ye fan a
bekungahambi	be ku nga hamb i
hhiya	hhiya
lapho	laph o
ufa	u f a
lapha	lapha
kusize	ku siz e
langa	langa, l ang a
ngiyakwazi	ngi ya kw azi
iwempela	i w e mpela
sengiyezwa	se ngi y ezw a
ngokuhamba	ng o ku hamb a
ukukusho	u ku ku sho
esesondela	e se sondel a
kubengathi	ku be nga thi
elayeze	e layez e
ayisindwa	a yi sind w a
bayigqoma	ba yi gqom a
nginuka	ngi nuk a
ukukhethwa	u ku kheth w a
nokusho	n o ku sho
uchakijana	u chakijana
ukwethembana	u kw ethemb an a
usezukeke	u se zukek e
ngamenzela	ng a m enz el a
bekuthiwe	be ku th iw e
nenkulumo	n e n kulum o
ethatha	e thath a
mfowethu	m fo w ethu
usangithinta	u sa ngi thint a
yibumfingomfingo	y i bumfingomfingo
kokungqongqotha	k o ku ngqongqoth a
unemali	u n e mali
iyivukele	i yi vuk el e
efrayimi	efrayimi
uthembi	u themb i
nezigameko	n e zi gamek o
angiphekile	a ngi phek ile
hlala	hlal a
usuze	u s u z e, u suz e
usuza	u suz a
ukumbona	u ku m bon a
ayomthengela	a yo m theng el a
wenqindi	w e n qindi
entubeni	e n tub eni
kachakide	ka chakide
phambi	phambi
abuveze	a bu vez e
kungabi	ku nga b i
sengathi	sengathi
limshiya	li m shiy a
kwalababelungu	kwa la ba be lungu
okohlanya	o k o hlanya
walishiya	w a li shiy a
babengenakulokotha	ba be nge na ku lokoth a
wayegebisele	w a ye geb is el e
kwebandla	kw e bandla
iyoqoma	i yo qom a
beqonde	be qond e
ephelele	e phel el e
usola	u sol a
ikhandlela	ikhandlela
kwetshe	kw e tshe
useze	u se ze
uqedile	u qed ile
abagulayo	a ba gul a yo
wayengezukuyigquma	w a ye nge zu ku yi gqum a
kungene	ku ngen e
ikumfowabo	i ku m fo wa bo
ayiwuhlanganisile	a yi wu hlangan is ile
ipeni	i peni
esibucayi	e si bucayi
yamazulu	y a ma zulu
ngikwenze	ngi kw enz e
engakwenza	e nga kw enz a
ezase	e z a se
buqamamana	bu qamam ana
osezoba	o se zo b a
asondele	a sondel e
nethuba	n e thuba
abakuboni	a ba ku bon i
isikhathi	i si khathi
aphindele	a phind el e
lezizingane	le zi zin gane
ngifanele	ngi fanel e
egoli	e goli
ufanele	u fanel e
mpelampela	mpela mpela
zabantu	z a ba ntu
alithole	a li thol e
ongajaha	o nga jah a
njulo	n jul o
kanye	ka nye
sebeyisebenza	se be yi sebenz a
omncane	o m ncane
esebheke	e se bhek e
iziboniso	i zi bon is o
bangathengi	ba nga theng i
usuhambe	u s u hamb e
ukhohlwe	u khohl w e
limbe	li mb e
sakhelene	s akh el en e
bekwenzenjani	be kw enz e njani
kuthinteke	ku thint ek e
kunamuhla	ku na mu hla
zithi	zi thi
engeshekelelayo	e nge shekel el a yo
yokuhlela	y o ku hlel a
kwadingeka	kw a ding ek a
ngokweqisa	ng o kw eq is a
namakapisi	n a ma kapisi
lingifudumeza	li ngi fudumez a
likankosikazi	lika nkosi kazi
bemisa	be m is a
ngabaxhasi	ng a ba xhas i
ubekuphethe	u be ku pheth e
kamili	kamili
akasakhulumisi	a ka sa khulum is i
kuneyakho	kun e ya kho
kuxoxwa	ku xox w a
kuxoxwe	ku xox w e
imphendule	i m phendul e
obeyibhala	o be yi bhal a
kuzondi	ku zondi
nginehlule	ngi n ehlul e
inhlansi	i n hlansi
ngaphakathi	nga phakathi
namarandi	n a ma randi
buzala	bu zal a
ngisukele	ngi suk el e
alwa	a lw a
abalisa	a ba lisa
ngingustephan	ngi ng u stephan
sekufike	se ku fik e
okwentwala	o kw e n twal a
ngikucabanga	ngi ku cabang a
ibuyela	i buy el a
wawubulala	w a wu bulal a
yayiqonde	y a yi qond e
etshwaleni	e tshwal eni
kwesikhathi	kw e si khathi
amanhlakomuzi	a ma n hlak o mu zi
okubhala	o ku bhal a
ungishisa	u ngi sh is a
esewubambile	e se wu bamb ile
wayiphupha	w a yi phuph a
sakhona	sa kho na
eyazi	e y azi
ewabheka	e wa bhek a
itholana	i thol an a
okuvamise	o ku vam is e
owawusuthande	o w a wu s u thand e
uzanele	u zanele
soze	s o ze
wathi	w a thi
uke	u ke
wamgxavula	w a m gxavul a
ukwanda	u kw and a
kacelemba	ka celemba
kundumezulu	ku n dum e zulu
ngidede	ngi ded e
womsiza	w o m siza
kwamxaka	kw a m xak a
ephuma	e phum a
ehleka	e hlek a
emithi	e mi thi
kajakobe	ka jakobe
emitha	e mith a
ubabona	u ba bon a
emizini	e mi z ini
liyavuleka	li ya vul ek a
njengomntanami	njeng o m ntana mi
lalimanzi	l a li manzi
ngingafela	ngi nga f el a
leyonto	le y o n to
isisasambana	i si sasambana
udanisa	u dan is a
ngimkhonze	ngi m khonz e
kuphindelwa	ku phind el w a
wawashiya	w a wa shiy a
umfelokazi	u m f el o kazi
kusheshe	ku shesh e
nalapho	na laph o
yasehholo	ya se hholo
izinto	i zin to
ezathintwa	e z a thint w a
nalapha	na lapha
kuleso	ku le s o
iambulense	i ambulense
luhuntshu	lu huntshu
lwaba	lw a b a
akukhulunywa	a ku khuluny w a
ngiyobonga	ngi yo bong a
ngalendlela	nga le n dlela
besemvakwakhe	be s emva kwa khe
ulungisa	u lung is a
elele	e lel e
ukuyisebenzisa	u ku yi sebenz is a
ephendula	e phendul a
uyakhwishiza	u ya khwishiz a
sengiyajabula	se ngi ya jabul a
lamehlo	la me hlo
sala	s al a, sal a
laphayana	lapha ya na
lawa	la wa
nabantu	n a ba ntu
eqala	e qal a
wawagqumuza	w a wa gqumuz a
sengijikile	se ngi jik ile
laphoke	laph o ke
ekuphi	e ku phi
kunoma	ku noma
umbhede	u m bhede
abayosiza	a ba yo siz a
bafike	ba fik e
bafika	ba fik a
inkungu	i n kungu
makamemeze	ma ka memez e
izikhafu	i zi khafu
ombonile	o m bon ile
bangobani	ba ng o bani
ukusenga	u ku seng a
usibhamu	u si bhamu
ngikukhululela	ngi ku khululel a
yayiminingi	yayiminingi
ngisamfica	ngi sa m fic a
wayo	wa yo
embotsheni	e m botsh eni
beqhubekela	be qhub ek el a
isizengu	i si zengu
wayeyolala	w a ye yo lal a
kwangathi	kw a nga thi
ukukufanisa	u ku ku fan is a
amatiye	a ma tiye
zazingekho	z a zi nge kho
singakuphawula	si nga ku phawul a
waya	w a y a
phambili	phambili
lakhohlwa	l a khohl w a
sekuba	se ku b a
ngiwabuza	ngi wa buz a
wawugqashula	w a wu gqashul a
nomummy	n o mummy
sekukubi	se ku ku bi
wadumela	w a dumel a
zohlelo	z o hlel o
womunye	w o mu nye
uyisiwula	u y i si wula
ebishiwo	e b i sh iw o
eyiceke	e yi cek e
ngiyinkunzi	ngi y i n kunzi
uthwale	u thwal e
ubusuku	u bu suku
umkhize	u m khize
ngezinyembezi	ng e zi nyembezi
olwalubaneka	o lw a lu banek a
isifuna	i s i fun a
phapha	phaph a, phapha
athole	a thol e
kakudingi	ka ku ding i
ngangidonsela	ng a ngi dons el a
bengikhuzela	be ngi khuz el a
abangaboni	a ba nga bon i
unozwengaye	u n o zwengaye
umgqibelo	u m gqibel o
kwakulukhuni	kw a ku lukhuni
ubuzowuyalelwa	u b u zo wu yal el w a
ocela	o cel a
yamkhohlwa	y a m khohl w a
okungenani	o ku nge na ni
kwawa	k wa w a
kudambe	ku damb e
ngunyawo	ng u nyawo
singazi	si ng az i
bamphethe	ba m pheth e
epentrich	e pentrich
avuleka	a vul ek a
s	s
ezashaya	e z a shay a
bazichaze	ba zi chaz e
kwabantwana	kw a ba ntwana
engekho	e ng ekho
abulala	a bulal a
imbulunga	i m bulunga
abulale	a bulal e
ngithoka	ngi thok a
esezisebenza	e se zi sebenz a
mayiwazile	ma yi wa zil e
abebusa	a be bus a
anti	anti
babevamise	b a be vam is e
zazibethela	z a zi beth el a
akuvami	a ku vam i
ezimbi	e zim bi
ngikuhhumuzele	ngi ku hhumuz el e
ungicibele	u ngi cib el e
ephoxayo	e phox a yo
siyobe	si yo be
akungiphathi	a ku ngi phath i
udliwa	u dl iw a
bayaphefumula	ba ya phefumul a
wesilisa	w e silisa
somnqayi	s o m nqay i
ibiyini	i b i yi ni
koziphosa	k o zi phos a
yayikhelwe	y a yi khel w e, y a yi khelw e
kunkosi	ku n kosi
kusofa	ku sofa
yangena	y a ngen a
aliboni	a li bon i
sengenqena	se ng enqen a
ngikweluleka	ngi kw elulek a
uyadlala	u ya dlal a
zibahlonipha	zi ba hloniph a
likajamu	lika jamu
liyaphakama	li ya phakam a
okusalayo	o ku sal a yo
ebeziyigugu	e be zi y i gugu
esehlengezela	e se hlengez el a
buyasa	bu ya s a
ayinazindlebe	a yi na zin dlebe
kwashayansumoni	kw a shay a n sumo ni
bakwejwayele	ba kw ejwayel e
sebenginukile	se be ngi nuk ile
edobana	e dob an a
kuzolunga	ku zo lung a
banake	ba nak e
ubewanikelani	u be wa nik el a ni
nzima	nzima
engingayenza	e ngi nga y enz a
bamotha	ba m oth a
waphuma	w a phum a
wamamatheka	w a mamathek a
yamnika	y a m nik a
ngizobuka	ngi zo buk a
azidilizelwe	a zi diliz el w e
engangikwenza	e ng a ngi kw enz a
lesitimela	le si timela
unginike	u ngi nik e
engasiza	e nga siz a
wayohlala	w a yo hlal a
usheshe	u shesh e
lesibili	l e si bili
isheshise	i shesh is e
eseyilobile	e se yi lob ile
neyayishiwo	n e y a yi sh iw o
lingcono	li ngcono
emalokishini	e ma lokish ini
sesiyaqumbelana	se si ya qumb el an a
angahlela	a nga hlel a
obambisanayo	o bamb is an a yo
benze	b enz e
kwamamangalahlwa	kwa mamangalahlwa
kuwukuhlakanipha	ku w u ku hlakaniph a
bangacabangi	ba nga cabang i
amcele	a m cel e
esika	e sik a
sengiyamesaba	se ngi ya m esab a
umdelwa	u m del w a
ithikithi	i thikithi
wahixileka	w a hixil ek a
ukuzenzela	u ku z enz el a
ukuyengwa	u ku yeng w a
usegugile	u se gug ile
isisu	i si su
ubuhle	u bu hle
musani	mus a ni
ngiyisilima	ngi y i si lima
ngomkhonzo	ng o m khonz o
bayizwe	ba yi zw e
ongaluthola	o nga lu thol a
liyogcina	li yo gcin a
asasele	a sa sel e
unjengoyihlo	u njeng o yihlo
amanani	a ma nani
ebuthongweni	e bu thongw eni
siyeka	si yek a
kwayena	kwa ye na
kalula	ka lula
bayibulele	ba yi bulel e
ngamaqushela	ng a ma qush el a
mkhohlisi	m khohl is i
aluphethe	a lu pheth e
umbize	u m biz e
kungachithwa	ku nga chith w a
eze	e z e
zindleko	zin dl ek o
kwakunjalo	kw a ku njalo
akhuleka	a khul ek a
avule	a vul e
wadlubulundela	w a dlubulund el a
simbuyisele	si m buy is el e
babenendlela	ba be n e n dlela
ukumthola	u ku m thol a
egulile	e gul ile
abona	a bon a, a bo na
abone	a bon e
ashikenaze	ashikenaze
emhlane	e m hlane
uyahlaba	u ya hlab a
lukamamncube	luka ma m ncube
umlabalaba	u m labalaba
uzethu	u zethu
ngazo	nga zo
akwenziwa	a kw enz iw a
wegolide	w e golide
ngamakhala	ng a ma khala
ngaze	ng a ze
yizithunzi	y i zi thunzi
ngasale	ng a sal e
izilimi	i zi limi
yokudineka	y o ku din ek a
singakanani	s i ngakanani
uzoxola	u zo xol a
lulokhu	lulokhu
wadi	wadi
umamlaba	u ma mlaba
usishiya	u si shiy a
yobukhosi	y o bu khosi
esingenamkhuba	e si nge na m khuba
wakhuluma	w a khulum a
uzodlula	u zo dlul a
mehluko	m ehluk o
ngisizeni	ngi siz e ni
yomlungu	y o m lungu
kokupheka	k o ku phek a
ayatholakala	a ya thol akal a
yaya	y a y a
