sürecek	sür:null ecek:null
nevşehir	nevşehir:null
konu	konu:null
insanlığın	insan:null lığ:null ın:null
eylülde	eylül:null de:null
önümüzdeki	ön:null ümüz:null de:null ki:null
gıda	gıda:null
savaştan	savaş:null tan:null
derinleşmek	derin:null leş:null mek:null
yağacak	yağ:null acak:null
arttığı	art:null tığ:null ı:null
dolsun	dol:null sun:null
temel	temel:null
bekar	bekar:null
annemlere	anne:null m:null ler:null e:null
annemleri	anne:null m:null ler:null i:null
çoluk	çoluk:null
şaşırırsın	şaş:null ır:null ır:null sı:null n:null, şaşır:null ır:null sı:null n:null
dağıtacağız	dağıt:null a:null cağız:null
memurluğumu	memur:null luğ:null um:null u:null, memur:null luğ:null u:null mu:null
malatya	malatya:null
değerlendirmiş	değer:null len:null dir:null miş:null, değ:null er:null len:null dir:null miş:null
yaklaştı	yaklaş:null tı:null
evimde	ev:null im:null de:null
müzik	müzik:null
kopuk	kopuk:null
kral	kral:null
özgü	özgü:null
lisansımı	lisans:null ı:null mı:null, lisan:null sı:null m:null ı:null, lisans:null ım:null ı:null, lisan:null sı:null mı:null
balıklar	balık:null lar:null
aradığım	ara:null dığ:null ım:null
aradığın	ara:null dığ:null ın:null
psikoloji	psikoloji:null
yaratmam	yarat:null ma:null m:null, yara:null t:null ma:null m:null
gibilerinden	gibi:null leri:null nden:null, gibi:null ler:null in:null den:null, gibi:null ler:null i:null nden:null
kayadan	kaya:null dan:null, kay:null a:null dan:null
yabancı	yaban:null cı:null, yabancı:null
operasyon	operasyon:null
odaları	oda:null ları:null, oda:null lar:null ı:null
börek	börek:null
hemşire	hemşire:null
açtığımızda	aç:null tığ:null ımız:null da:null
gençlik	genç:null lik:null
alacak	al:null acak:null, alacak:null
başlar	başla:null r:null, baş:null lar:null
londra'da	londra:null ':null da:null
internet	internet:null
kaçakları	kaçak:null ları:null, kaçak:null lar:null ı:null
asistanım	asistan:null ım:null
konuşulmasını	konuş:null ul:null ma:null sı:null nı:null, konuş:null ul:null ma:null sı:null n:null ı:null
badana	badana:null
görüşmesi	görüş:null me:null si:null, görüşme:null si:null, gör:null üş:null me:null si:null
hazırlıklara	hazır:null lık:null lar:null a:null, hazırlık:null lar:null a:null
kadrolardan	kadro:null lar:null dan:null
parayı	para:null yı:null
başvurabilecekler	başvur:null abil:null ecek:null ler:null
